"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74"
"2156",4.11012186150877,-3.30073638184436,-0.718158307789475,-0.0727410630296742,-0.74033486412566,1.86202332743397,0.544515469380143,0.139737950471545,-0.155140351457999,0.0918361469193079,0.0118397536042258,-0.2676974620895,-0.124897368809068,-0.0112749939389012,-0.00118205959700798,-0.034412434022293,0.0352672749398209,0.0172763346772871,0.226763983466273,0.0339137951669098,0.0170960075482058,-0.0120325997625805,-0.00886799989546333,-0.0570142848036066,0.0250880478193367,-0.0175106601543194,-0.00520288596350345,0.00140841227664697,-0.000294198383101974,-0.00259633075251674,-0.00154921106973798,-0.000770683882308456,-0.00146826082890487,-5.99005356808129e-16,-3.38887876384242e-15,-2.55045004049614e-15,5.44440832185968e-16,-5.92372905411535e-16,6.33251759232232e-16,-2.89394582065513e-16,1.15513560885027e-15,7.68258073588221e-16,4.08642165943762e-16,-6.16107481927798e-16,-3.98274911489862e-16,6.07442690395349e-16,-3.05563570170465e-16,3.08727989619924e-16,3.05790302543427e-17,-2.99676952305299e-16,-1.3706487779923,0.531337586002513,1.34248811003784,-1.1116373000448,1.14512172624688,0.941360181604343,0.146328205888285,-0.771041493317182,1.71937249246069,-1.26785501294945,-1.42863489202092,-0.0424422832545692,0.36587423147409,-0.15991540299817,-0.377320880335538,0.600669879991946,0.198260109861866,-0.112083959915555,-0.169908251199313,1.34486503671085,-0.24828176658071,-1.47572902583203,1.02540710328667,-3.3364188806617,-1.68360040694309
"2157",5.7386800991908,-0.0239094987159546,-1.4996212714875,0.568926357527906,-0.149425737645078,-1.11755726331089,0.19836652604317,-0.19044833991034,-0.435934822700533,-0.19542775785452,-0.0713536483447796,0.0215671328398784,0.0269653498765985,0.000764401316787377,-0.0438803362650706,-0.0444508872340199,0.0485378326106617,0.0445728545170689,0.0218160298988958,-0.0559401928523759,0.0309421676554011,0.000199999178495963,-0.0121813969709112,0.0170855697676962,-0.0128392603726726,-0.0128518010439876,-0.00834458752390103,0.00131986698756828,0.00199928891334862,0.00334921475209541,-0.000447685392235394,-0.000668949254933674,0.000208919151010989,9.86303835206112e-16,2.97725432754271e-16,-1.63322996928519e-15,-1.33722825000033e-15,-6.85957465072622e-16,4.34440153683171e-16,-1.13522293134191e-15,-1.7200975806427e-15,4.8215996052121e-16,-2.67600968274823e-17,-2.17742390437656e-16,1.1264339636604e-15,-1.33058708526637e-16,-4.03736005727826e-16,2.88003160264418e-16,-1.26864342673855e-17,4.42707692947013e-17,-0.770142949659488,-0.739457946098452,-0.225693653281724,0.113215282096156,-0.720716773796893,-0.465009246334675,-1.06331829612154,-0.771041493317182,1.75502378899029,0.0306089520280044,-1.42863489202092,1.66798173190457,1.52687671402573,-0.15991540299817,-1.31020624705469,0.600669879991946,1.23590717835968,8.92188320927819,-0.169908251199313,-0.445326903155284,-0.24828176658071,-0.659455347108542,-0.793444793322122,-0.26580537080574,-0.592740878500736
"1910",-3.42181931180606,3.79521025130711,0.958497515231952,0.831772487405755,0.493201514874238,-0.0470193931281502,0.0839326848091762,0.441424194334641,-0.164986348770909,0.162379742570263,-0.175741646246872,-0.0828332685679557,0.0970917921192354,0.028920357398101,0.0780624875971772,0.106201389706234,-0.0216360879057595,-0.0328540240717532,0.00385400164446159,0.0132972532292523,0.123833212082137,-0.0628135281110072,0.0234683742916991,-0.00497046094412493,-0.00383263979356743,-0.00459301262487531,-0.0025327767485167,0.00523998932308288,-0.000954290777997525,-0.00102025711669872,-0.00122788545394927,0.000597217011785237,0.0012900338383285,-9.71026271094903e-15,-5.0758723545634e-15,-1.14022518892215e-14,8.49497804419804e-15,3.41488690197602e-15,1.9401451754776e-15,-4.34642431335106e-15,1.0891928468075e-15,-3.42511711907912e-15,1.36623509052538e-15,2.41366316934302e-15,2.12064980009202e-15,8.90179077043198e-17,-2.18736562649982e-16,-1.24540682423133e-16,-8.20075893383652e-16,3.84138631507906e-18,2.63728725493981,1.166735352053,-0.225693653281724,3.17534673744856,-0.0987706071156342,1.2929525385891,1.65838633340057,0.176305219508502,-0.248239539815593,1.32907291700546,1.57391979629423,-0.0424422832545692,0.36587423147409,-0.909286419373315,-1.31020624705469,0.600669879991946,0.198260109861866,-0.112083959915555,-0.169908251199313,0.00222108181124832,-0.24828176658071,2.62221544752719,0.68638389587238,2.17829696728683,2.81247538503317
"1913",-0.406171540946138,0.852148335706751,0.1561519141649,0.866386068804929,0.25940211987455,-0.177062155972266,-0.0224600144947713,0.127919952507227,0.113855143797242,0.14536529189868,-0.101148659749871,0.0858212515668216,0.0586755835278724,-0.0371765103247488,0.00264248556731764,-0.0923752601688083,0.0295588124552497,-0.00655837395661484,0.000304903686272314,0.0272504540784293,-0.0153730731011554,0.0186004928512764,-0.000653344969635902,0.00799332120541174,0.00309269798369211,-0.00770867355780361,0.00082890010362707,-0.000459158762781143,-0.00178991868704983,0.00359061430830262,0.000144062109501501,0.000796843826745945,0.000284677163599561,1.01329650563934e-16,3.50148668131868e-15,1.98703522295362e-15,-6.45703057089031e-17,-1.73473570105624e-15,1.02306988357961e-16,-1.09734306935688e-15,-2.92099975390615e-16,3.07208208607153e-16,2.4595409310855e-16,-4.36851582246263e-16,6.52994485131027e-16,-2.88372201096111e-17,3.1904343148957e-16,3.49233540125903e-16,-1.04570897571103e-16,-3.6873338585539e-17,0.168273276034685,-0.421759063073211,-0.748420907721579,0.419428427631396,-0.720716773796893,-0.81660160331943,-0.458495045116627,1.12365193233419,0.33953527492632,0.0306089520280044,0.0726424521366568,-0.0424422832545692,0.36587423147409,-0.909286419373315,-0.377320880335538,-0.729384854275934,-0.839386958635952,-0.112083959915555,-0.169908251199313,0.00222108181124832,2.31729648808663,0.287257041669329,-0.637959486522112,0.671835082193305,0.297978216514649
"2039",-3.13176551874533,-0.278882873327363,0.634291287369957,0.151948420708514,-0.0640401013569673,-0.0310591251760423,-0.327521143961268,0.0527295951611724,-0.149872961835462,-0.0792614182769284,0.227504592663604,0.0702865241836277,-0.128603085589549,0.0702721059091592,0.267271408133994,-0.0286723757680534,-0.099997677063095,-0.00619613027393158,-0.0486417637636231,0.0619122815888035,-0.0295805004582129,-0.0166526877588377,-0.0158012562086943,0.00314132730884737,0.00767677042068262,0.00802177886427323,0.0063506931457198,-0.00213827389337115,-2.79355303169882e-05,0.00969190838848055,0.000735476570299656,0.00105057209772039,0.000408872944114855,4.96988102549829e-15,-3.02143688472035e-15,2.13573706816514e-15,-6.05278951675254e-18,-1.37690847619112e-15,-5.30941483137786e-16,-4.41284696709784e-16,-9.63920709110201e-18,-7.03761359036754e-16,-5.25759183111775e-16,2.94288395974119e-16,1.90217688374955e-16,-8.52320765048915e-17,3.32224383842638e-17,6.07606942539085e-18,-1.63889009700864e-17,3.63997245533139e-16,-0.037736792352619,-0.739457946098452,-0.748420907721579,-0.499211008974324,-0.720716773796893,-0.81660160331943,-0.458495045116627,0.176305219508502,-1.66750067785095,0.0306089520280044,0.823281124215444,-0.897654290834137,-0.79512825107755,-0.15991540299817,0.555564486383614,-0.729384854275934,-0.839386958635952,-0.112083959915555,-0.169908251199313,-0.445326903155284,-0.24828176658071,-0.0109884898388243,-0.383746446453284,1.41296705182456,-0.00572426982911006
"2045",-3.81343761422471,-0.403295695498384,-0.549396751544327,0.135628128231676,-0.208374255288632,0.486168559565648,0.279952692011338,-0.123979809682224,0.193677494216314,-0.141487551139563,0.0364379833476428,0.18488543280964,-0.0295613615279149,-0.0625048565670427,-0.0293170810676905,-0.0614467022101509,0.00747819155867301,0.0276171703173374,0.0419197103081726,0.0843783948413372,-0.021922035314312,-0.000978741552526032,0.0284190041080485,-0.0119445363309213,-0.00374815337118521,0.0189307854723786,0.00601943754570308,-0.000824743791187189,-2.86725442316647e-06,0.00222185136921636,-0.000204456780060298,-0.000435239005652803,0.00034816993614574,-1.79033825272503e-15,4.32992862402584e-16,5.05507201720435e-15,4.15529743964251e-15,1.29143087341127e-16,-9.75507800671151e-16,6.93220723213123e-16,-1.49166665042779e-16,-1.41400450793844e-15,5.32551708784248e-16,-2.6157088223702e-16,-1.93323394681069e-16,8.68144397544985e-17,-5.68908700095405e-17,1.95183818909286e-16,1.43999772707667e-16,2.4206757637473e-16,-0.375577640972608,-0.10406018004797,-0.225693653281724,-0.499211008974324,-0.0987706071156342,-0.113416889349921,-0.156083419614171,-0.771041493317182,-1.15140571856536,0.679840934516731,1.57391979629423,-0.897654290834137,-0.79512825107755,1.33882662975212,2.42133521982192,-0.729384854275934,-0.839386958635952,-0.112083959915555,-0.169908251199313,0.00222108181124832,-0.24828176658071,-0.299527152988923,-0.0934347197707476,0.378774399123549,-0.252491982658711
"2170",-1.89816099753987,-1.90099836747332,0.00451448722737683,1.5140806916053,-0.184141075425128,0.315548979519683,-0.070885584504446,0.106942994297598,0.0419324904755157,-0.15476603521859,-0.0510366031134118,-0.104670366825417,-0.0253497013627422,0.09864894102039,0.0276908281122214,-0.0154392519596827,-0.0153171694303247,0.0904376028082464,0.0830949948065224,-0.0391610620170196,0.0392605284400448,-0.0369256039580993,-0.000555072264939766,-0.00579789166835258,-9.49808298954136e-05,-0.0104995877035873,-0.00569334226883702,-0.000359501630632747,4.7408021495166e-05,0.000137678395353438,-0.000147724874259066,-0.0017933842258532,0.000205069010600892,2.9951217551355e-15,-3.05184533895409e-15,-1.38973819353703e-15,-1.87362727775659e-17,7.51788196951326e-16,8.12000591089469e-17,6.09580575764981e-16,-1.8465754738044e-16,9.25508714569916e-16,-2.73658032946175e-16,-4.25938447472065e-16,-3.35103493559916e-16,-1.14339554106834e-16,1.39910124191932e-16,2.18427336376979e-16,-6.360990097908e-17,3.6663434211924e-16,-0.883798331189056,-1.05715682912369,0.819760855597987,-0.499211008974324,0.523175559565624,-1.16819396030418,-1.06331829612154,-0.771041493317182,-1.02997161049817,-0.618623030460722,0.0726424521366568,-0.897654290834137,-0.79512825107755,-0.909286419373315,-0.377320880335538,-0.729384854275934,-0.839386958635952,-0.112083959915555,-0.169908251199313,0.00222108181124832,-0.24828176658071,-0.833153423930493,-0.470513771506716,-0.295354017530081,-0.802759001508418
"2109",-2.1137789171785,0.319383438037438,-0.501411907233048,0.32661799997311,-0.110551152171578,0.0378767602529563,-0.061734279200109,-0.12244101078632,0.506011532474824,-0.0990175046653615,-0.113546334467882,-0.196919880003492,-0.0646800467521825,-0.0767495340122181,0.0092667794633862,0.0229568040430675,0.0540423532292769,-0.0100654501606601,0.0345593869800043,-0.0277579339077883,-0.0131726713313696,-0.0130748013830776,0.00163830192210058,0.00805954514012446,-0.00420765765991601,0.00362971453935832,-0.000226347616892754,0.00521073166141996,-0.000251524897734891,-0.00105145835568566,-0.000354075214213377,-0.000249057542611015,6.10165261125002e-05,3.79435792729636e-15,-4.97362576825085e-15,-4.92412537765523e-15,2.25019529696374e-16,-1.90187563488337e-15,-1.86168971586284e-15,1.11871305744325e-15,7.51510784933722e-16,1.21147870785071e-15,4.60867215481166e-16,-3.55217835434415e-17,-8.38111726664393e-17,2.86579633327488e-16,-2.14045535103977e-16,1.88206209545153e-16,2.2170722666323e-16,2.80367906257785e-16,-0.0716385839633695,-0.10406018004797,-0.225693653281724,-0.805424154509564,-0.0987706071156342,-0.113416889349921,-0.458495045116627,-0.771041493317182,0.0665783853486121,0.679840934516731,0.823281124215444,-0.0424422832545692,0.36587423147409,1.33882662975212,1.48844985310276,0.600669879991946,0.198260109861866,-0.112083959915555,-0.169908251199313,0.449769066777781,-0.24828176658071,0.0730407902566687,-0.385486142193704,-0.0153805898169508,0.27780866207808
"1250",-1.65563451275703,-1.36178248942609,-0.136107486085959,-0.0813419843544019,0.134507629649073,0.17661810133087,0.051261798672767,0.0638702115667044,0.46262940363087,-0.228962718978059,0.265207718717578,0.0492958409076568,-0.110773619068442,0.00853491997511904,0.135302734858242,-0.13632809282106,-0.000574581941774346,-0.089579974684439,0.0834614453029572,-0.0945306754892098,0.0247989377198481,-0.0157512242065117,-0.0298685586535279,0.0419346215101345,-0.00696236754207392,-0.00282778232628554,-0.00162772859014687,-0.00177439054572095,0.00140859687938107,0.00443629606732823,0.000183155546945036,-0.000210408743656807,-1.33926657961706e-05,-6.33866589828784e-16,2.74274244571076e-15,-1.74035242980637e-16,3.21886814880566e-16,8.6404313565768e-16,8.08885465011316e-16,1.40373626515928e-15,-1.58749079875938e-16,3.73335288479945e-16,7.70900253688029e-17,1.24790891145343e-16,6.06973188958147e-16,8.64635848020723e-17,-9.15451138178822e-17,1.86477266290936e-16,7.58944907970376e-17,5.00242386371344e-17,-0.594285291164319,-0.421759063073211,0.297033601158131,-0.192997863439084,0.523175559565624,-0.465009246334675,-0.156083419614171,-0.771041493317182,-0.764334499101176,-0.618623030460722,0.0726424521366568,-0.897654290834137,-0.79512825107755,-0.15991540299817,0.555564486383614,-0.729384854275934,-0.839386958635952,-0.112083959915555,-0.169908251199313,0.00222108181124832,-0.24828176658071,-0.573785689231863,-0.155411380523199,0.331057327724106,-0.635364463577011
"1449",0.366954008561335,-0.208627339109387,0.818710688907391,0.611774961055941,-0.94968641437176,-0.550609323788481,0.265030204228121,0.309728522657277,-0.0478780410382876,-0.223974454400764,-0.0058906663247365,-0.0311356823705803,0.0177485560004208,0.0644174633876062,-0.0239025210616458,0.0674854515693126,-0.0365558507606258,-0.0505594404630099,-0.0659579039154857,-0.0908471335124092,0.0206780712734622,-0.0208154277852022,-0.0104974171767112,-0.0391200967017184,-0.0156081079028889,0.0267258011035365,0.00385849219915189,0.00122704950632622,0.00118015714886078,0.00387271455759147,0.00174914134455619,-0.0128713411008359,0.000240849225026441,-1.89457650274576e-16,-4.25080616946852e-15,6.52523573305684e-15,-1.04154859207343e-15,-1.04969031600992e-15,8.68575140391813e-16,-6.30249093996752e-16,-6.64411285840383e-16,-9.68117797588199e-16,2.77317496521956e-16,4.16869808590916e-16,-4.73494757381172e-16,1.54493196721146e-17,-2.8190490447831e-16,1.53036849157404e-16,-8.77344368591778e-17,7.7013487525498e-17,-0.417970016267194,-0.739457946098452,0.297033601158131,-0.805424154509564,-0.0987706071156342,-0.465009246334675,-0.760906670619083,1.12365193233419,-0.377263279636989,0.0306089520280044,-0.677996219942131,0.812769724324999,1.52687671402573,-0.15991540299817,-1.31020624705469,1.93072461425983,1.23590717835968,-0.112083959915555,-0.169908251199313,0.00222108181124832,-0.24828176658071,-0.341710426376532,-0.459640673129093,0.0442058535268292,-0.206810273223849
