,c_name,d_name,cdr_hat,cdr_all,cluster,c_cluster,d_cluster
0,c1_5,d1_1,0,0,-1,-1,-1
1,c1_5,d1_2,0,0,-1,-1,-1
2,c1_5,d1_3,0,0,-1,-1,-1
3,c1_5,d1_4,0,0,-1,-1,-1
4,c1_5,d1_5,0,0,-1,-1,-1
5,c1_5,d1_6,0,0,-1,-1,-1
6,c1_5,d1_7,0,0,-1,-1,-1
7,c1_5,d1_8,0,0,-1,-1,-1
8,c1_5,d1_9,0,0,-1,-1,-1
9,c1_5,d1_10,0,0,-1,-1,-1
10,c1_5,d2_1,0,0,-1,-1,1
11,c1_5,d2_2,0,0,-1,-1,1
12,c1_5,d2_3,0,0,-1,-1,1
13,c1_5,d2_4,0,0,-1,-1,1
14,c1_5,d2_5,0,0,-1,-1,1
15,c1_5,d2_6,0,0,-1,-1,1
16,c1_5,d2_7,0,0,-1,-1,1
17,c1_5,d2_8,0,0,-1,-1,1
18,c1_5,d2_9,0,0,-1,-1,1
19,c1_5,d2_10,0,0,-1,-1,1
20,c1_5,d0_1,0,0,-1,-1,0
21,c1_5,d0_2,0,0,-1,-1,0
22,c1_5,d0_3,0,0,-1,-1,0
23,c1_5,d0_4,0,0,-1,-1,0
24,c1_5,d0_5,0,0,-1,-1,0
25,c1_5,d0_6,0,0,-1,-1,0
26,c1_5,d0_7,0,0,-1,-1,0
27,c1_5,d0_8,0,0,-1,-1,0
28,c1_5,d0_9,0,0,-1,-1,0
29,c1_5,d0_10,0,0,-1,-1,0
30,c0_36,d1_1,0,0,-1,0,-1
31,c0_36,d1_2,0,0,-1,0,-1
32,c0_36,d1_3,0,0,-1,0,-1
33,c0_36,d1_4,0,0,-1,0,-1
34,c0_36,d1_5,0,0,-1,0,-1
35,c0_36,d1_6,0,0,-1,0,-1
36,c0_36,d1_7,0,0,-1,0,-1
37,c0_36,d1_8,0,0,-1,0,-1
38,c0_36,d1_9,0,0,-1,0,-1
39,c0_36,d1_10,0,0,-1,0,-1
40,c0_36,d2_1,0,0,-1,0,1
41,c0_36,d2_2,0,0,-1,0,1
42,c0_36,d2_3,0,0,-1,0,1
43,c0_36,d2_4,0,0,-1,0,1
44,c0_36,d2_5,0,0,-1,0,1
45,c0_36,d2_6,0,0,-1,0,1
46,c0_36,d2_7,0,0,-1,0,1
47,c0_36,d2_8,0,0,-1,0,1
48,c0_36,d2_9,0,0,-1,0,1
49,c0_36,d2_10,0,0,-1,0,1
50,c0_36,d0_1,0.874062,0.874062,0,0,0
51,c0_36,d0_2,0.830545,0.830545,0,0,0
52,c0_36,d0_3,0.921965,0.921965,0,0,0
53,c0_36,d0_4,0.933498,0.933498,0,0,0
54,c0_36,d0_5,0.751522,0.751522,0,0,0
55,c0_36,d0_6,0.852877,0.852877,0,0,0
56,c0_36,d0_7,0.984068,0.984068,0,0,0
57,c0_36,d0_8,0.870885,0.870885,0,0,0
58,c0_36,d0_9,0.828606,0.828606,0,0,0
59,c0_36,d0_10,0.767033,0.767033,0,0,0
60,c2_2,d1_1,0,0,-1,1,-1
61,c2_2,d1_2,0,0,-1,1,-1
62,c2_2,d1_3,0,0,-1,1,-1
63,c2_2,d1_4,0,0,-1,1,-1
64,c2_2,d1_5,0,0,-1,1,-1
65,c2_2,d1_6,0,0,-1,1,-1
66,c2_2,d1_7,0,0,-1,1,-1
67,c2_2,d1_8,0,0,-1,1,-1
68,c2_2,d1_9,0,0,-1,1,-1
69,c2_2,d1_10,0,0,-1,1,-1
70,c2_2,d2_1,0.995836,0.995836,1,1,1
71,c2_2,d2_2,0.999261,0.999261,1,1,1
72,c2_2,d2_3,0.897895,0.897895,1,1,1
73,c2_2,d2_4,0.967889,0.967889,1,1,1
74,c2_2,d2_5,0.994294,0.994294,1,1,1
75,c2_2,d2_6,0.999995,0.999995,1,1,1
